time,raw_fx,raw_fy,raw_fz,corrected_fx,corrected_fy,corrected_fz,contact_force,target_force,force_xy_norm,v_des_x,v_des_y,v_x,v_y,z_dot,x,y,z,x_d,y_d,z_d,z_offset,f_z
0.000000,0.789349,-0.490117,0.943046,-0.801043,0.084512,-0.102035,0.102035,3.000000,0.805489,0.000000,0.000000,0.000040,-0.000516,0.000817,0.489458,-0.023972,0.518533,0.489455,-0.023968,0.518535,0.000000,-0.006897
0.010000,0.898777,-0.559691,0.832770,-0.691615,0.014937,-0.212311,0.212311,3.000000,0.691776,0.000000,0.000000,-0.000315,0.000735,0.002141,0.489456,-0.023966,0.518551,0.489455,-0.023968,0.518535,0.000000,-0.018449
0.020000,1.135735,-0.540838,0.482707,-0.454657,0.033790,-0.562374,0.562374,3.000000,0.455911,0.000000,0.000000,0.000113,-0.000249,0.003680,0.489454,-0.023967,0.518581,0.489455,-0.023968,0.518535,0.000000,-0.032055
0.030000,1.227894,-0.591192,0.206552,-0.362498,-0.016563,-0.838529,0.838529,3.000000,0.362876,0.000000,0.000000,-0.000397,0.001612,0.002331,0.489451,-0.023955,0.518611,0.489455,-0.023968,0.518535,0.000000,-0.021133
0.040000,1.240776,-0.683802,0.010362,-0.349616,-0.109174,-1.034719,1.034719,3.000000,0.366265,0.000000,0.000000,-0.000598,0.001396,0.003184,0.489446,-0.023946,0.518638,0.489455,-0.023968,0.518495,-0.000040,-0.029577
0.050000,1.553799,-0.738283,-0.205318,-0.036593,-0.163655,-1.250399,1.250399,3.000000,0.167696,0.000000,0.000000,-0.001431,-0.000427,0.002978,0.489434,-0.023935,0.518665,0.489455,-0.023968,0.518295,-0.000240,-0.031928
0.060000,1.984414,-0.762683,-0.324270,0.394022,-0.188055,-1.369350,1.369350,3.000000,0.436598,0.000000,0.000000,-0.001863,0.001329,0.004285,0.489417,-0.023925,0.518712,0.489455,-0.023968,0.518095,-0.000440,-0.047472
0.070000,2.300981,-0.835901,-0.445716,0.710589,-0.261273,-1.490797,1.490797,3.000000,0.757100,0.000000,0.000000,-0.001696,-0.000031,0.005867,0.489400,-0.023929,0.518775,0.489455,-0.023968,0.517895,-0.000640,-0.065616
0.080000,2.281503,-0.826582,-0.486641,0.691111,-0.251953,-1.531722,1.531722,3.000000,0.735605,0.000000,0.000000,-0.001482,-0.000018,0.006194,0.489383,-0.023930,0.518832,0.489455,-0.023968,0.517695,-0.000840,-0.073012
0.090000,1.968504,-0.785794,-0.417554,0.378112,-0.211166,-1.462635,1.462635,3.000000,0.433081,0.000000,0.000000,-0.000972,-0.000150,0.003439,0.489372,-0.023931,0.518876,0.489455,-0.023968,0.517495,-0.001040,-0.054042
