time,raw_fx,raw_fy,raw_fz,corrected_fx,corrected_fy,corrected_fz,contact_force,target_force,force_xy_norm,v_des_x,v_des_y,v_x,v_y,z_dot,x,y,z,x_d,y_d,z_d,z_offset,f_z
0.000000,-9.783649,0.511717,-0.541724,-9.400437,1.300937,-2.060220,2.060220,3.000000,9.490029,-0.004953,0.000685,-0.000261,-0.000167,0.000322,0.181789,-0.005749,0.504085,0.181641,-0.005733,0.504250,0.000000,0.000220
0.010000,-9.683088,0.597557,-0.570609,-9.299875,1.386777,-2.089105,2.089105,3.000000,9.402703,-0.004945,0.000737,0.000962,-0.000520,0.000062,0.181793,-0.005748,0.504087,0.181591,-0.005726,0.504250,0.000000,0.002403
0.020000,-10.003917,0.739560,-0.633441,-9.620704,1.528780,-2.151938,2.151938,3.000000,9.741412,-0.004938,0.000785,0.006737,-0.000449,-0.002647,0.181846,-0.005752,0.504068,0.181542,-0.005718,0.504250,0.000000,0.025732
0.030000,-9.790849,0.699491,-0.632977,-9.407637,1.488711,-2.151473,2.151473,3.000000,9.524699,-0.004939,0.000782,0.011546,-0.000968,-0.001483,0.181952,-0.005761,0.504051,0.181493,-0.005710,0.504250,0.000000,0.016162
0.040000,-8.619181,0.503562,-0.641161,-8.235968,1.292782,-2.159657,2.159657,3.000000,8.336814,-0.004940,0.000775,0.013200,-0.000877,-0.000547,0.182078,-0.005771,0.504050,0.181443,-0.005703,0.504250,0.000000,0.008221
0.050000,-7.131917,0.212001,-0.537505,-6.748704,1.001221,-2.056001,2.056001,3.000000,6.822569,-0.004946,0.000734,0.013154,-0.001051,0.000864,0.182212,-0.005783,0.504057,0.181394,-0.005695,0.504250,0.000000,-0.003873
0.060000,-5.660744,-0.129568,-0.530695,-5.277531,0.659652,-2.049191,2.049191,3.000000,5.318597,-0.004961,0.000620,0.011499,-0.000417,0.001648,0.182333,-0.005788,0.504075,0.181344,-0.005688,0.504250,0.000000,-0.010848
0.070000,-4.874306,-0.464389,-0.501968,-4.491093,0.324830,-2.020464,2.020464,3.000000,4.502825,-0.004987,0.000361,0.012414,0.001404,-0.000019,0.182454,-0.005777,0.504087,0.181294,-0.005683,0.504250,0.000000,0.003092
0.080000,-5.067119,-0.576844,-0.643488,-4.683907,0.212376,-2.161984,2.161984,3.000000,4.688719,-0.004995,0.000226,0.014577,0.001700,-0.000573,0.182594,-0.005760,0.504086,0.181245,-0.005681,0.504250,0.000000,0.007801
0.090000,-5.887181,-0.653428,-0.903676,-5.503969,0.135792,-2.422172,2.422172,3.000000,5.505644,-0.004998,0.000123,0.016608,0.002578,-0.002664,0.182757,-0.005733,0.504063,0.181195,-0.005679,0.504250,0.000000,0.025957
0.100000,-6.641121,-0.873971,-1.115330,-6.257908,-0.084751,-2.633826,2.633826,3.000000,6.258482,-0.005000,-0.000068,0.019249,0.004270,-0.004679,0.182944,-0.005693,0.504024,0.181145,-0.005679,0.504250,0.000000,0.043765
0.110000,-6.889997,-0.973518,-1.276311,-6.506785,-0.184298,-2.794807,2.794807,3.000000,6.509394,-0.004998,-0.000142,0.020765,0.004528,-0.004583,0.183148,-0.005646,0.503980,0.181095,-0.005680,0.504250,0.000000,0.043744
0.120000,-6.516615,-0.881161,-1.288559,-6.133402,-0.091941,-2.807055,2.807055,3.000000,6.134092,-0.004999,-0.000075,0.020446,0.004331,-0.005504,0.183351,-0.005605,0.503932,0.181045,-0.005681,0.504250,0.000000,0.052417
0.131000,-5.877902,-0.759630,-1.222293,-5.494689,0.029590,-2.740789,2.740789,3.000000,5.494769,-0.005000,0.000027,0.020225,0.003939,-0.005090,0.183575,-0.005561,0.503878,0.180990,-0.005681,0.504250,0.000000,0.049879
0.141000,-5.504700,-0.663774,-1.164993,-5.121488,0.125446,-2.683489,2.683489,3.000000,5.123024,-0.004999,0.000122,0.020864,0.003625,-0.005918,0.183781,-0.005525,0.503821,0.180940,-0.005680,0.504250,0.000000,0.057922
0.151000,-5.434833,-0.438990,-1.164352,-5.051621,0.350230,-2.682848,2.682848,3.000000,5.063747,-0.004988,0.000346,0.021379,0.001686,-0.006269,0.183993,-0.005504,0.503758,0.180890,-0.005678,0.504250,0.000000,0.062041
0.161000,-6.000691,-0.148983,-1.269421,-5.617479,0.640236,-2.787917,2.787917,3.000000,5.653846,-0.004968,0.000566,0.023801,0.001576,-0.010067,0.184225,-0.005490,0.503671,0.180840,-0.005673,0.504250,0.000000,0.095846
0.171000,-6.841356,-0.018039,-1.433235,-6.458144,0.771180,-2.951731,2.951731,3.000000,6.504025,-0.004965,0.000593,0.027264,-0.000035,-0.010240,0.184491,-0.005486,0.503573,0.180790,-0.005667,0.504250,0.000000,0.099057
0.181000,-7.687476,0.083003,-1.634018,-7.304263,0.872223,-3.152515,3.152515,3.000000,7.356156,-0.004965,0.000593,0.030903,-0.000545,-0.011191,0.184796,-0.005488,0.503457,0.180741,-0.005661,0.504250,0.000000,0.109235
0.191000,-8.538838,0.109033,-1.742092,-8.155625,0.898253,-3.260588,3.260588,3.000000,8.204942,-0.004970,0.000547,0.035083,-0.000370,-0.014857,0.185139,-0.005490,0.503313,0.180691,-0.005656,0.504250,0.000000,0.142911
0.201000,-9.034966,-0.055876,-1.771103,-8.651753,0.733344,-3.289599,3.289599,3.000000,8.682778,-0.004982,0.000422,0.037638,0.000311,-0.016063,0.185506,-0.005490,0.503150,0.180641,-0.005651,0.504250,0.000000,0.156089
0.211000,-8.935082,-0.355728,-1.759476,-8.551870,0.433492,-3.277972,3.277972,3.000000,8.562849,-0.004994,0.000253,0.039617,0.001339,-0.017525,0.185897,-0.005481,0.502979,0.180591,-0.005648,0.504250,0.000000,0.171580
0.221000,-8.739509,-0.479685,-1.725729,-8.356296,0.309535,-3.244225,3.244225,3.000000,8.362027,-0.004997,0.000185,0.042177,0.001368,-0.018471,0.186320,-0.005468,0.502798,0.180541,-0.005645,0.504250,0.000000,0.182863
0.231000,-8.619834,-0.594141,-1.732639,-8.236621,0.195079,-3.251135,3.251135,3.000000,8.238931,-0.004999,0.000118,0.044087,0.001416,-0.019277,0.186761,-0.005452,0.502608,0.180491,-0.005644,0.504250,0.000000,0.193124
0.241000,-8.682952,-0.698190,-1.779380,-8.299739,0.091029,-3.297877,3.297877,3.000000,8.300238,-0.005000,0.000055,0.046629,0.002553,-0.020259,0.187217,-0.005428,0.502407,0.180441,-0.005643,0.504250,0.000000,0.205056
0.252000,-9.464813,-0.670632,-1.914610,-9.081600,0.118588,-3.433106,3.433106,3.000000,9.082374,-0.005000,0.000065,0.050257,0.002542,-0.023627,0.187759,-0.005401,0.502157,0.180386,-0.005643,0.504250,0.000000,0.238145
0.262000,-10.745650,-0.391561,-2.045504,-10.362438,0.397659,-3.564000,3.564000,3.000000,10.370065,-0.004996,0.000192,0.054648,0.001862,-0.027363,0.188294,-0.005383,0.501890,0.180336,-0.005641,0.504250,0.000000,0.274646
0.272000,-12.053869,-0.029770,-2.178917,-11.670656,0.759450,-3.697413,3.697413,3.000000,11.695340,-0.004989,0.000325,0.061439,-0.000009,-0.030865,0.188881,-0.005379,0.501594,0.180286,-0.005639,0.504250,0.000000,0.309700
0.282000,-12.929729,0.240096,-2.190307,-12.546517,1.029315,-3.708803,3.708803,3.000000,12.588668,-0.004983,0.000409,0.067229,-0.001068,-0.033064,0.189551,-0.005388,0.501264,0.180237,-0.005635,0.504250,0.000000,0.334287
0.292000,-12.888977,0.309591,-2.222764,-12.505765,1.098811,-3.741260,3.741260,3.000000,12.553945,-0.004981,0.000438,0.070913,-0.001615,-0.032289,0.190255,-0.005404,0.500933,0.180187,-0.005631,0.504250,0.000000,0.333675
0.302000,-11.803692,0.334937,-2.266274,-11.420480,1.124157,-3.784770,3.784770,3.000000,11.475674,-0.004976,0.000490,0.072176,-0.002995,-0.031585,0.190983,-0.005434,0.500616,0.180137,-0.005626,0.504250,0.000000,0.333402
0.312000,-10.586889,0.279938,-2.382120,-10.203676,1.069157,-3.900616,3.900616,3.000000,10.259537,-0.004973,0.000521,0.075496,-0.003504,-0.028417,0.191729,-0.005470,0.500330,0.180087,-0.005621,0.504250,0.000000,0.311689
0.322000,-10.405017,0.245979,-2.481881,-10.021804,1.035199,-4.000378,4.000378,3.000000,10.075128,-0.004974,0.000514,0.081744,-0.005320,-0.029407,0.192526,-0.005518,0.500038,0.180038,-0.005616,0.504270,0.000020,0.325688
0.332000,-11.715427,0.310248,-2.732106,-11.332215,1.099468,-4.250603,4.250603,3.000000,11.385426,-0.004977,0.000483,0.090609,-0.004901,-0.031726,0.193418,-0.005567,0.499726,0.179988,-0.005611,0.504470,0.000220,0.354598
0.342000,-13.502101,0.246819,-2.981679,-13.118888,1.036038,-4.500175,4.500175,3.000000,13.159734,-0.004984,0.000394,0.098628,-0.005078,-0.035672,0.194390,-0.005619,0.499382,0.179938,-0.005607,0.504670,0.000420,0.397854
0.352000,-14.060315,0.049136,-2.984021,-13.677102,0.838356,-4.502518,4.502518,3.000000,13.702772,-0.004991,0.000306,0.104809,-0.004737,-0.034049,0.195409,-0.005667,0.499048,0.179888,-0.005603,0.504870,0.000620,0.393702
0.362000,-13.832671,-0.141206,-3.062525,-13.449458,0.648014,-4.581022,4.581022,3.000000,13.465060,-0.004994,0.000241,0.109236,-0.004613,-0.035540,0.196507,-0.005716,0.498696,0.179838,-0.005600,0.505070,0.000820,0.416295
0.372000,-13.913052,-0.320426,-3.004268,-13.529840,0.468794,-4.522765,4.522765,3.000000,13.537959,-0.004997,0.000173,0.111057,-0.003415,-0.039084,0.197604,-0.005751,0.498312,0.179788,-0.005598,0.505270,0.001020,0.456875
0.382000,-13.735558,-0.525674,-2.990723,-13.352345,0.263546,-4.509219,4.509219,3.000000,13.354946,-0.004999,0.000099,0.115418,-0.002185,-0.037111,0.198763,-0.005780,0.497936,0.179738,-0.005597,0.505470,0.001220,0.450495
0.392000,-12.568240,-0.820550,-2.961239,-12.185027,-0.031330,-4.479735,4.479735,3.000000,12.185068,-0.005000,-0.000013,0.117866,-0.002329,-0.034105,0.199941,-0.005803,0.497584,0.179688,-0.005597,0.505670,0.001420,0.434941
0.402000,-11.532487,-0.839176,-3.078494,-11.149275,-0.049957,-4.596990,4.596990,3.000000,11.149386,-0.005000,-0.000022,0.122525,-0.001916,-0.034167,0.201150,-0.005822,0.497245,0.179638,-0.005597,0.505870,0.001620,0.445162
0.412000,-12.312624,-0.655930,-3.191448,-11.929412,0.133289,-4.709945,4.709945,3.000000,11.930156,-0.005000,0.000056,0.129791,-0.003265,-0.038041,0.202434,-0.005852,0.496873,0.179588,-0.005597,0.506070,0.001820,0.488314
0.422000,-13.213250,-0.542612,-3.379308,-12.830037,0.246608,-4.897804,4.897804,3.000000,12.832407,-0.004999,0.000096,0.136093,-0.003989,-0.037077,0.203785,-0.005887,0.496498,0.179538,-0.005596,0.506270,0.002020,0.490490
0.432000,-13.259758,-0.564276,-3.463246,-12.876545,0.224944,-4.981742,4.981742,3.000000,12.878510,-0.004999,0.000087,0.141301,-0.003617,-0.038289,0.205165,-0.005922,0.496135,0.179488,-0.005595,0.506470,0.002220,0.510926
0.442000,-13.792087,-0.466956,-3.541023,-13.408874,0.322263,-5.059519,5.059519,3.000000,13.412746,-0.004999,0.000120,0.144519,-0.004884,-0.040826,0.206599,-0.005967,0.495722,0.179438,-0.005594,0.506670,0.002420,0.543469
0.452000,-13.843936,-0.490688,-3.648968,-13.460723,0.298532,-5.167464,5.167464,3.000000,13.464033,-0.004999,0.000111,0.146515,-0.004555,-0.041237,0.208098,-0.006015,0.495294,0.179388,-0.005593,0.506870,0.002620,0.558270
0.462000,-12.032211,-0.787351,-3.606632,-11.648999,0.001869,-5.125128,5.125128,3.000000,11.648999,-0.005000,0.000001,0.145548,-0.004087,-0.036648,0.209560,-0.006055,0.494911,0.179338,-0.005592,0.507070,0.002820,0.529824
0.472000,-10.583956,-0.983307,-3.723918,-10.200744,-0.194087,-5.242414,5.242414,3.000000,10.202590,-0.004999,-0.000095,0.147023,-0.003852,-0.036922,0.211022,-0.006092,0.494543,0.179288,-0.005593,0.507270,0.003020,0.542370
0.482000,-10.804315,-1.057159,-3.759264,-10.421103,-0.267939,-5.277760,5.277760,3.000000,10.424547,-0.004998,-0.000129,0.148295,-0.003025,-0.037647,0.212498,-0.006122,0.494163,0.179238,-0.005594,0.507470,0.003220,0.558967
0.492000,-10.108832,-1.325335,-3.850999,-9.725619,-0.536115,-5.369495,5.369495,3.000000,9.740384,-0.004992,-0.000275,0.147200,-0.002181,-0.036350,0.213982,-0.006142,0.493800,0.179188,-0.005596,0.507670,0.003420,0.558097
0.503000,-10.438700,-1.508131,-3.933858,-10.055488,-0.718911,-5.452354,5.452354,3.000000,10.081154,-0.004987,-0.000357,0.150462,-0.000681,-0.039987,0.215628,-0.006152,0.493374,0.179133,-0.005600,0.507890,0.003640,0.600572
0.513000,-11.858682,-1.637356,-3.993520,-11.475469,-0.848137,-5.512016,5.512016,3.000000,11.506769,-0.004986,-0.000369,0.156084,0.000138,-0.041171,0.217165,-0.006147,0.492974,0.179084,-0.005603,0.508090,0.003840,0.621430
0.523000,-11.742865,-1.734392,-4.042809,-11.359653,-0.945172,-5.561305,5.561305,3.000000,11.398906,-0.004983,-0.000415,0.156183,0.001631,-0.039465,0.218715,-0.006138,0.492570,0.179034,-0.005607,0.508290,0.004040,0.617817
0.533000,-10.679551,-1.864392,-4.077953,-10.296338,-1.075172,-5.596449,5.596449,3.000000,10.352322,-0.004973,-0.000519,0.157816,0.002145,-0.038057,0.220314,-0.006117,0.492210,0.178984,-0.005612,0.508490,0.004240,0.615959
0.543000,-10.453342,-1.732959,-4.055882,-10.070130,-0.943739,-5.574378,5.574378,3.000000,10.114255,-0.004978,-0.000467,0.154165,0.001891,-0.038283,0.221862,-0.006093,0.491827,0.178934,-0.005617,0.508690,0.004440,0.628364
0.553000,-9.130207,-1.463079,-4.076337,-8.746995,-0.673859,-5.594833,5.594833,3.000000,8.772913,-0.004985,-0.000384,0.149594,0.001494,-0.035218,0.223341,-0.006075,0.491469,0.178884,-0.005621,0.508890,0.004640,0.612411
0.563000,-8.245572,-1.214978,-4.016482,-7.862359,-0.425758,-5.534979,5.534979,3.000000,7.873878,-0.004993,-0.000270,0.149777,0.000714,-0.037228,0.224865,-0.006066,0.491093,0.178834,-0.005624,0.509090,0.004840,0.639835
0.573000,-9.090983,-1.244122,-4.043707,-8.707770,-0.454902,-5.562204,5.562204,3.000000,8.719645,-0.004993,-0.000261,0.153534,0.001775,-0.038209,0.226395,-0.006047,0.490708,0.178785,-0.005627,0.509290,0.005040,0.658679
0.583000,-9.791503,-1.163797,-4.135792,-9.408290,-0.374577,-5.654288,5.654288,3.000000,9.415744,-0.004996,-0.000199,0.151567,0.001867,-0.038785,0.227923,-0.006025,0.490321,0.178735,-0.005629,0.509490,0.005240,0.674130
0.593000,-9.573551,-0.971231,-4.229334,-9.190338,-0.182011,-5.747831,5.747831,3.000000,9.192140,-0.004999,-0.000099,0.149030,0.002027,-0.037566,0.229393,-0.006005,0.489944,0.178685,-0.005631,0.509690,0.005440,0.674171
0.603000,-10.054516,-0.541306,-4.300586,-9.671303,0.247914,-5.819082,5.819082,3.000000,9.674480,-0.004998,0.000128,0.147715,0.001371,-0.040429,0.230874,-0.005992,0.489545,0.178635,-0.005630,0.509890,0.005640,0.709255
0.613000,-9.629936,-0.444803,-4.267373,-9.246723,0.344417,-5.785870,5.785870,3.000000,9.253136,-0.004997,0.000186,0.142265,0.001593,-0.036116,0.232334,-0.005974,0.489173,0.178585,-0.005629,0.510090,0.005840,0.682951
0.623000,-7.932439,-0.771671,-4.314968,-7.549226,0.017549,-5.833464,5.833464,3.000000,7.549247,-0.005000,0.000012,0.140552,0.002680,-0.033781,0.233738,-0.005945,0.488832,0.178535,-0.005628,0.510290,0.006040,0.672873
