time,raw_fx,raw_fy,raw_fz,corrected_fx,corrected_fy,corrected_fz,contact_force,target_force,force_xy_norm,v_des_x,v_des_y,v_x,v_y,z_dot,x,y,z,x_d,y_d,z_d,z_offset,f_z
0.000000,0.274336,-0.044105,1.797729,0.012680,0.017220,-0.010434,0.010434,3.000000,0.021385,0.000000,0.000000,-0.000183,-0.000103,0.000213,0.170086,-0.002580,0.525520,0.170088,-0.002580,0.525518,0.000000,-0.001850
0.010000,0.253910,-0.050582,1.797611,-0.007746,0.010743,-0.010553,0.010553,3.000000,0.013245,0.000000,0.000000,-0.000369,-0.000123,-0.000411,0.170086,-0.002579,0.525517,0.170088,-0.002580,0.525518,0.000000,0.003500
0.020000,0.245971,-0.054117,1.731887,-0.015685,0.007209,-0.076276,0.076276,3.000000,0.017262,0.000000,0.000000,-0.000075,0.000325,-0.000243,0.170086,-0.002578,0.525515,0.170088,-0.002580,0.525518,0.000000,0.002118
0.030000,0.192915,-0.027313,1.671557,-0.068742,0.034013,-0.136606,0.136606,3.000000,0.076696,0.000000,0.000000,0.000304,-0.000151,-0.000356,0.170087,-0.002579,0.525514,0.170088,-0.002580,0.525518,0.000000,0.003093
0.040000,0.191828,-0.039886,1.661558,-0.069829,0.021439,-0.146605,0.146605,3.000000,0.073046,0.000000,0.000000,-0.000314,0.000506,0.000346,0.170086,-0.002578,0.525515,0.170088,-0.002580,0.525518,0.000000,-0.002890
0.050000,0.248401,-0.093626,1.650050,-0.013256,-0.032300,-0.158114,0.158114,3.000000,0.034915,0.000000,0.000000,-0.000091,0.000523,0.000227,0.170086,-0.002578,0.525517,0.170088,-0.002580,0.525518,0.000000,-0.001912
0.060000,0.223618,-0.066036,1.653714,-0.038039,-0.004711,-0.154449,0.154449,3.000000,0.038329,0.000000,0.000000,0.000036,0.000359,0.000162,0.170087,-0.002579,0.525516,0.170088,-0.002580,0.525518,0.000000,-0.001346
0.070000,0.194316,-0.031056,1.665989,-0.067341,0.030270,-0.142175,0.142175,3.000000,0.073831,0.000000,0.000000,-0.000424,-0.000302,0.000044,0.170085,-0.002579,0.525514,0.170088,-0.002580,0.525518,0.000000,-0.000313
0.080000,0.288820,-0.045903,1.640209,0.027163,0.015422,-0.167954,0.167954,3.000000,0.031236,0.000000,0.000000,-0.000246,0.000538,-0.000466,0.170083,-0.002579,0.525510,0.170088,-0.002580,0.525518,0.000000,0.004095
0.090000,0.386529,-0.056222,1.675735,0.124872,0.005103,-0.132429,0.132429,3.000000,0.124977,0.000000,0.000000,0.000235,0.000130,0.000492,0.170083,-0.002579,0.525514,0.170088,-0.002580,0.525518,0.000000,-0.004110
0.100000,0.509097,-0.037760,1.668151,0.247440,0.023565,-0.140012,0.140012,3.000000,0.248560,0.000000,0.000000,-0.000828,0.000913,0.001285,0.170080,-0.002577,0.525521,0.170088,-0.002580,0.525518,0.000000,-0.010957
0.110000,0.722266,-0.059719,1.616295,0.460610,0.001606,-0.191868,0.191868,3.000000,0.460612,0.000000,0.000000,-0.000373,0.000054,0.001195,0.170077,-0.002579,0.525530,0.170088,-0.002580,0.525518,0.000000,-0.010363
0.120000,0.932695,-0.029922,1.628998,0.671038,0.031403,-0.179166,0.179166,3.000000,0.671772,0.000000,0.000000,-0.000761,-0.000367,0.001100,0.170071,-0.002580,0.525538,0.170088,-0.002580,0.525518,0.000000,-0.009692
0.131000,1.167842,-0.048966,1.642745,0.906185,0.012359,-0.165419,0.165419,3.000000,0.906270,0.000000,0.000000,-0.000635,-0.000029,0.000559,0.170068,-0.002580,0.525541,0.170088,-0.002580,0.525518,0.000000,-0.005163
0.141000,1.370751,-0.038396,1.657181,1.109095,0.022929,-0.150983,0.150983,3.000000,1.109332,0.004999,0.000103,-0.000165,0.000170,0.000437,0.170068,-0.002581,0.525545,0.170113,-0.002580,0.525518,0.000000,-0.004190
0.151000,1.536301,-0.042089,1.618392,1.274644,0.019237,-0.189772,0.189772,3.000000,1.274789,0.004999,0.000075,0.000234,0.000016,-0.000688,0.170068,-0.002580,0.525546,0.170163,-0.002579,0.525518,0.000000,0.005333
0.161000,1.613836,-0.002504,1.632235,1.352180,0.058821,-0.175928,0.175928,3.000000,1.353459,0.004995,0.000217,0.000233,0.000199,0.000271,0.170068,-0.002580,0.525547,0.170213,-0.002577,0.525518,0.000000,-0.002826
