time,raw_fx,raw_fy,raw_fz,corrected_fx,corrected_fy,corrected_fz,contact_force,target_force,force_xy_norm,v_des_x,v_des_y,v_x,v_y,z_dot,x,y,z,x_d,y_d,z_d,z_offset,f_z
0.000000,0.179171,-0.464106,0.870059,0.026489,-0.051006,0.005491,0.000000,3.000000,0.057474,0.000000,0.000000,0.000174,-0.000100,0.001236,0.415184,-0.016353,0.482184,0.415184,-0.016350,0.482184,0.000000,-0.010490
0.010000,0.208400,-0.452063,0.833575,0.055718,-0.038962,-0.030993,0.030993,3.000000,0.067989,0.000000,0.000000,-0.000339,0.000584,-0.000931,0.415184,-0.016351,0.482181,0.415184,-0.016350,0.482184,0.000000,0.007945
0.020000,0.149814,-0.464928,0.817632,-0.002869,-0.051828,-0.046936,0.046936,3.000000,0.051908,0.000000,0.000000,-0.000260,0.000302,-0.000553,0.415183,-0.016352,0.482179,0.415184,-0.016350,0.482184,0.000000,0.004778
0.030000,0.154114,-0.458171,0.759488,0.001432,-0.045071,-0.105080,0.105080,3.000000,0.045094,0.000000,0.000000,0.000003,0.000713,-0.000011,0.415184,-0.016350,0.482181,0.415184,-0.016350,0.482184,0.000000,0.000139
0.040000,0.122881,-0.418439,0.760453,-0.029802,-0.005339,-0.104115,0.104115,3.000000,0.030276,0.000000,0.000000,0.000440,-0.000340,-0.000260,0.415184,-0.016352,0.482178,0.415184,-0.016350,0.482184,0.000000,0.002305
0.050000,0.096060,-0.415788,0.756494,-0.056622,-0.002688,-0.108074,0.108074,3.000000,0.056686,0.000000,0.000000,0.000123,-0.000192,-0.000693,0.415184,-0.016353,0.482179,0.415184,-0.016350,0.482184,0.000000,0.005962
0.060000,0.176300,-0.390570,0.723136,0.023618,0.022530,-0.141432,0.141432,3.000000,0.032641,0.000000,0.000000,-0.000226,-0.000046,0.000454,0.415185,-0.016352,0.482182,0.415184,-0.016350,0.482184,0.000000,-0.003822
0.070000,0.177386,-0.410629,0.719840,0.024703,0.002471,-0.144728,0.144728,3.000000,0.024826,0.000000,0.000000,0.000031,0.000080,-0.000158,0.415184,-0.016351,0.482180,0.415184,-0.016350,0.482184,0.000000,0.001414
0.080000,0.156980,-0.377626,0.689015,0.004298,0.035474,-0.175553,0.175553,3.000000,0.035734,0.000000,0.000000,0.000380,-0.000723,-0.000506,0.415186,-0.016353,0.482182,0.415184,-0.016350,0.482184,0.000000,0.004330
0.090000,0.103610,-0.379017,0.689332,-0.049072,0.034083,-0.175236,0.175236,3.000000,0.059747,0.000000,0.000000,-0.000029,-0.000244,0.000305,0.415184,-0.016352,0.482183,0.415184,-0.016350,0.482184,0.000000,-0.002567
0.100000,0.145103,-0.423899,0.669172,-0.007579,-0.010799,-0.195396,0.195396,3.000000,0.013193,0.000000,0.000000,-0.000184,-0.000553,0.000257,0.415184,-0.016353,0.482183,0.415184,-0.016350,0.482184,0.000000,-0.002159
0.110000,0.113392,-0.390167,0.678331,-0.039291,0.022933,-0.186237,0.186237,3.000000,0.045494,0.000000,0.000000,0.000179,0.000318,0.000437,0.415184,-0.016352,0.482182,0.415184,-0.016350,0.482184,0.000000,-0.003684
0.120000,0.112644,-0.380254,0.707078,-0.040038,0.032846,-0.157490,0.157490,3.000000,0.051787,0.000000,0.000000,-0.000013,0.000109,-0.000318,0.415184,-0.016352,0.482180,0.415184,-0.016350,0.482184,0.000000,0.002772
0.131000,0.167698,-0.434471,0.674378,0.015016,-0.021371,-0.190190,0.190190,3.000000,0.026119,0.000000,0.000000,0.000219,0.000550,0.000074,0.415185,-0.016351,0.482181,0.415184,-0.016350,0.482184,0.000000,-0.000581
0.141000,0.133177,-0.455377,0.664830,-0.019506,-0.042277,-0.199737,0.199737,3.000000,0.046560,0.000000,0.000000,0.000148,-0.000346,-0.000079,0.415185,-0.016353,0.482181,0.415184,-0.016350,0.482184,0.000000,0.000723
0.151000,0.140852,-0.400268,0.676373,-0.011831,0.012832,-0.188195,0.188195,3.000000,0.017454,0.000000,0.000000,-0.000260,-0.000896,-0.000226,0.415184,-0.016352,0.482181,0.415184,-0.016350,0.482184,0.000000,0.001963
0.161000,0.139060,-0.389634,0.665835,-0.013622,0.023466,-0.198733,0.198733,3.000000,0.027133,0.000000,0.000000,0.000533,0.000150,0.000368,0.415185,-0.016352,0.482181,0.415184,-0.016350,0.482184,0.000000,-0.003066
0.171000,0.116528,-0.380992,0.670414,-0.036154,0.032108,-0.194154,0.194154,3.000000,0.048353,0.000000,0.000000,0.000082,-0.000468,0.000178,0.415184,-0.016354,0.482181,0.415184,-0.016350,0.482184,0.000000,-0.001464
0.181000,0.119651,-0.350981,0.698169,-0.033032,0.062119,-0.166399,0.166399,3.000000,0.070355,0.000000,0.000000,-0.000370,-0.000576,-0.000277,0.415183,-0.016353,0.482181,0.415184,-0.016350,0.482184,0.000000,0.002400
0.191000,0.132151,-0.347048,0.682849,-0.020531,0.066053,-0.181718,0.181718,3.000000,0.069170,0.000000,0.000000,0.000038,0.000481,0.000795,0.415185,-0.016351,0.482183,0.415184,-0.016350,0.482184,0.000000,-0.006732
0.201000,0.117500,-0.416929,0.687928,-0.035183,-0.003829,-0.176640,0.176640,3.000000,0.035391,0.000000,0.000000,-0.000116,0.000214,0.000871,0.415184,-0.016352,0.482182,0.415184,-0.016350,0.482184,0.000000,-0.007363
0.211000,0.138565,-0.397593,0.689346,-0.014117,0.015507,-0.175222,0.175222,3.000000,0.020971,0.000000,0.000000,-0.000230,-0.000234,0.000008,0.415184,-0.016351,0.482179,0.415184,-0.016350,0.482184,0.000000,0.000027
0.221000,0.120335,-0.405079,0.700739,-0.032347,0.008021,-0.163829,0.163829,3.000000,0.033327,0.000000,0.000000,0.000163,0.000413,0.000167,0.415185,-0.016351,0.482181,0.415184,-0.016350,0.482184,0.000000,-0.001361
0.231000,0.132227,-0.405853,0.714064,-0.020455,0.007247,-0.150504,0.150504,3.000000,0.021701,0.000000,0.000000,-0.000057,-0.001095,-0.001787,0.415184,-0.016354,0.482178,0.415184,-0.016350,0.482184,0.000000,0.015268
0.241000,0.073777,-0.379083,0.717867,-0.078905,0.034017,-0.146701,0.146701,3.000000,0.085926,0.000000,0.000000,0.000121,-0.000711,-0.000551,0.415184,-0.016354,0.482179,0.415184,-0.016350,0.482184,0.000000,0.004768
0.252000,0.081347,-0.383084,0.691924,-0.071335,0.030017,-0.172644,0.172644,3.000000,0.077393,0.000000,0.000000,-0.000117,-0.000879,-0.000326,0.415184,-0.016353,0.482180,0.415184,-0.016350,0.482184,0.000000,0.002843
0.262000,0.109852,-0.355983,0.690412,-0.042830,0.057117,-0.174156,0.174156,3.000000,0.071392,0.000000,0.000000,-0.000416,0.000253,-0.000201,0.415183,-0.016351,0.482181,0.415184,-0.016350,0.482184,0.000000,0.001754
0.272000,0.135893,-0.384523,0.698048,-0.016790,0.028577,-0.166519,0.166519,3.000000,0.033144,0.000000,0.000000,-0.000158,-0.000456,0.000051,0.415183,-0.016353,0.482180,0.415184,-0.016350,0.482184,0.000000,-0.000366
0.282000,0.114026,-0.394775,0.702164,-0.038656,0.018326,-0.162403,0.162403,3.000000,0.042780,0.000000,0.000000,0.000214,0.000531,0.000708,0.415184,-0.016350,0.482182,0.415184,-0.016350,0.482184,0.000000,-0.005980
0.292000,0.144046,-0.395513,0.664112,-0.008637,0.017587,-0.200456,0.200456,3.000000,0.019593,0.000000,0.000000,-0.000057,0.000582,-0.000020,0.415185,-0.016351,0.482180,0.415184,-0.016350,0.482184,0.000000,0.000227
0.302000,0.157500,-0.364956,0.675017,0.004817,0.048144,-0.189551,0.189551,3.000000,0.048384,0.000000,0.000000,0.000126,-0.000469,0.000027,0.415184,-0.016353,0.482182,0.415184,-0.016350,0.482184,0.000000,-0.000202
0.312000,0.145979,-0.397080,0.649722,-0.006704,0.016020,-0.214846,0.214846,3.000000,0.017366,0.000000,0.000000,0.000012,-0.000434,0.000279,0.415185,-0.016354,0.482182,0.415184,-0.016350,0.482184,0.000000,-0.002327
0.322000,0.103384,-0.383971,0.704348,-0.049298,0.029129,-0.160220,0.160220,3.000000,0.057261,0.000000,0.000000,0.000357,0.000471,0.000607,0.415185,-0.016350,0.482182,0.415184,-0.016350,0.482184,0.000000,-0.005108
0.332000,0.104220,-0.345520,0.654861,-0.048462,0.067580,-0.209707,0.209707,3.000000,0.083160,0.000000,0.000000,0.000349,0.000645,-0.000269,0.415185,-0.016352,0.482180,0.415184,-0.016350,0.482184,0.000000,0.002347
0.342000,0.070131,-0.387208,0.674572,-0.082552,0.025892,-0.189996,0.189996,3.000000,0.086517,0.000000,0.000000,0.000193,0.000940,-0.000319,0.415185,-0.016350,0.482179,0.415184,-0.016350,0.482184,0.000000,0.002794
0.352000,0.138253,-0.383320,0.630314,-0.014430,0.029780,-0.234254,0.234254,3.000000,0.033092,0.000000,0.000000,0.000403,0.001109,0.000616,0.415184,-0.016350,0.482180,0.415184,-0.016350,0.482184,0.000000,-0.005160
