time,raw_fx,raw_fy,raw_fz,corrected_fx,corrected_fy,corrected_fz,contact_force,target_force,force_xy_norm,v_des_x,v_des_y,v_x,v_y,z_dot,x,y,z,x_d,y_d,z_d,z_offset,f_z
0.000000,1.191731,0.341899,-1.531685,0.221595,0.019653,-1.912123,1.912123,3.000000,0.222465,0.000000,0.000000,0.000116,-0.000130,0.000292,0.297654,-0.014502,0.427953,0.297647,-0.014500,0.427910,0.000000,-0.003265
0.010000,1.175685,0.349182,-1.567012,0.205549,0.026936,-1.947450,1.947450,3.000000,0.207306,0.000000,0.000000,0.000226,0.000535,0.000023,0.297655,-0.014501,0.427954,0.297647,-0.014500,0.427710,-0.000200,-0.004587
0.020000,1.193592,0.365984,-1.535785,0.223457,0.043738,-1.916223,1.916223,3.000000,0.227697,0.000000,0.000000,0.000145,-0.000535,0.000684,0.297657,-0.014503,0.427961,0.297647,-0.014500,0.427510,-0.000400,-0.013931
0.030000,1.231442,0.350855,-1.489659,0.261306,0.028609,-1.870097,1.870097,3.000000,0.262867,0.000000,0.000000,0.000773,0.000155,0.002294,0.297663,-0.014501,0.427980,0.297647,-0.014500,0.427310,-0.000600,-0.031527
0.040000,1.239302,0.305154,-1.468672,0.269166,-0.017092,-1.849110,1.849110,3.000000,0.269708,0.000000,0.000000,0.001643,-0.000482,0.004723,0.297677,-0.014504,0.428019,0.297647,-0.014500,0.427110,-0.000800,-0.056455
0.050000,1.279439,0.309502,-1.468202,0.309303,-0.012744,-1.848640,1.848640,3.000000,0.309565,0.000000,0.000000,0.001673,0.000019,0.005917,0.297693,-0.014504,0.428070,0.297647,-0.014500,0.426910,-0.001000,-0.071097
0.060000,1.240409,0.259076,-1.466135,0.270273,-0.063170,-1.846573,1.846573,3.000000,0.277557,0.000000,0.000000,0.002666,0.000092,0.006637,0.297716,-0.014506,0.428135,0.297647,-0.014500,0.426710,-0.001200,-0.081978
0.070000,1.165721,0.251225,-1.495875,0.195585,-0.071021,-1.876313,1.876313,3.000000,0.208080,0.000000,0.000000,0.002848,-0.000187,0.008352,0.297743,-0.014509,0.428215,0.297647,-0.014500,0.426510,-0.001400,-0.101567
0.080000,1.182335,0.215472,-1.528233,0.212199,-0.106774,-1.908670,1.908670,3.000000,0.237548,0.000000,0.000000,0.003249,-0.000033,0.009758,0.297775,-0.014513,0.428311,0.297647,-0.014500,0.426310,-0.001600,-0.118816
0.090000,1.176582,0.221581,-1.572569,0.206446,-0.100665,-1.953007,1.953007,3.000000,0.229681,0.000000,0.000000,0.003912,-0.001003,0.010957,0.297812,-0.014519,0.428422,0.297647,-0.014500,0.426110,-0.001800,-0.134600
0.100000,1.132238,0.234174,-1.618621,0.162103,-0.088072,-1.999059,1.999059,3.000000,0.184483,0.000000,0.000000,0.003994,-0.000142,0.012174,0.297851,-0.014522,0.428544,0.297647,-0.014500,0.425910,-0.002000,-0.150720
0.110000,1.204542,0.194819,-1.653443,0.234406,-0.127427,-2.033881,2.033881,3.000000,0.266803,0.000000,0.000000,0.004275,-0.000295,0.012849,0.297894,-0.014527,0.428676,0.297647,-0.014500,0.425890,-0.002020,-0.159176
0.120000,1.225245,0.244452,-1.718702,0.255109,-0.077794,-2.099140,2.099140,3.000000,0.266707,0.000000,0.000000,0.004472,-0.000857,0.013956,0.297940,-0.014534,0.428816,0.297647,-0.014500,0.425890,-0.002020,-0.171092
0.131000,1.284103,0.224142,-1.755438,0.313968,-0.098104,-2.135876,2.135876,3.000000,0.328938,0.000000,0.000000,0.005074,0.000050,0.015747,0.297995,-0.014538,0.428985,0.297647,-0.014500,0.425890,-0.002020,-0.189330
0.141000,1.332222,0.286013,-1.794615,0.362087,-0.036233,-2.175053,2.175053,3.000000,0.363895,0.000000,0.000000,0.005115,-0.000901,0.015729,0.298046,-0.014547,0.429140,0.297647,-0.014500,0.425890,-0.002020,-0.191976
0.151000,1.402025,0.230920,-1.893870,0.431889,-0.091326,-2.274307,2.274307,3.000000,0.441439,0.000000,0.000000,0.005492,0.000309,0.016619,0.298098,-0.014551,0.429302,0.297647,-0.014500,0.425890,-0.002020,-0.202437
0.161000,1.421826,0.200789,-1.950665,0.451690,-0.121457,-2.331103,2.331103,3.000000,0.467735,0.000000,0.000000,0.005584,-0.001142,0.016287,0.298155,-0.014560,0.429471,0.297647,-0.014500,0.425890,-0.002020,-0.202665
0.171000,1.480800,0.252976,-1.971350,0.510664,-0.069270,-2.351788,2.351788,3.000000,0.515340,0.000000,0.000000,0.005737,-0.000632,0.017940,0.298212,-0.014565,0.429648,0.297647,-0.014500,0.425890,-0.002020,-0.219883
0.181000,1.471682,0.280088,-1.962843,0.501546,-0.042158,-2.343281,2.343281,3.000000,0.503315,0.000000,0.000000,0.005900,-0.000919,0.018101,0.298270,-0.014574,0.429825,0.297647,-0.014500,0.425890,-0.002020,-0.224423
0.191000,1.555879,0.273682,-2.012076,0.585743,-0.048564,-2.392514,2.392514,3.000000,0.587753,0.000000,0.000000,0.005907,-0.000546,0.018790,0.298330,-0.014580,0.430003,0.297647,-0.014500,0.425890,-0.002020,-0.233477
0.201000,1.614821,0.270010,-2.019175,0.644686,-0.052236,-2.399613,2.399613,3.000000,0.646798,0.000000,0.000000,0.006347,-0.000756,0.019374,0.298395,-0.014589,0.430199,0.297647,-0.014500,0.425890,-0.002020,-0.241959
0.211000,1.586955,0.297798,-1.982698,0.616819,-0.024448,-2.363135,2.363135,3.000000,0.617303,0.000000,0.000000,0.006830,-0.000876,0.020154,0.298460,-0.014598,0.430393,0.297647,-0.014500,0.425890,-0.002020,-0.252068
0.221000,1.589343,0.362233,-1.979094,0.619208,0.039987,-2.359531,2.359531,3.000000,0.620497,0.000000,0.000000,0.006721,-0.000790,0.020000,0.298525,-0.014607,0.430588,0.297647,-0.014500,0.425890,-0.002020,-0.254275
0.231000,1.608026,0.389470,-1.966168,0.637890,0.067224,-2.346606,2.346606,3.000000,0.641422,0.000000,0.000000,0.007144,-0.000611,0.020570,0.298594,-0.014615,0.430792,0.297647,-0.014500,0.425890,-0.002020,-0.262784
0.241000,1.562115,0.420824,-1.951068,0.591979,0.098578,-2.331505,2.331505,3.000000,0.600130,0.000000,0.000000,0.006795,-0.001443,0.020004,0.298662,-0.014625,0.430998,0.297647,-0.014500,0.425890,-0.002020,-0.261678
0.252000,1.566404,0.458369,-1.914750,0.596268,0.136123,-2.295188,2.295188,3.000000,0.611609,0.000000,0.000000,0.006791,-0.001128,0.020577,0.298737,-0.014633,0.431225,0.297647,-0.014500,0.425890,-0.002020,-0.270633
0.262000,1.580134,0.474304,-1.937375,0.609998,0.152058,-2.317813,2.317813,3.000000,0.628665,0.000000,0.000000,0.006856,-0.001026,0.020704,0.298804,-0.014642,0.431427,0.297647,-0.014500,0.425890,-0.002020,-0.275348
0.272000,1.523122,0.445685,-1.970620,0.552986,0.123439,-2.351058,2.351058,3.000000,0.566596,0.000000,0.000000,0.006861,-0.000968,0.021501,0.298872,-0.014649,0.431637,0.297647,-0.014500,0.425890,-0.002020,-0.285897
