time,raw_fx,raw_fy,raw_fz,corrected_fx,corrected_fy,corrected_fz,contact_force,target_force,force_xy_norm,v_des_x,v_des_y,v_x,v_y,z_dot,x,y,z,x_d,y_d,z_d,z_offset,f_z
0.000000,0.690436,-0.467829,0.577204,0.572561,0.347159,-1.281796,1.281796,3.000000,0.669586,0.000000,0.000000,0.000041,-0.000014,-0.000843,0.276404,0.002183,0.451193,0.276402,0.002185,0.451151,0.000000,0.006392
0.010000,0.665199,-0.427232,0.734124,0.547324,0.387757,-1.124876,1.124876,3.000000,0.670760,0.000000,0.000000,0.000051,0.000138,-0.001078,0.276403,0.002182,0.451188,0.276402,0.002185,0.450951,-0.000200,0.004894
0.020000,0.614608,-0.465949,0.834082,0.496733,0.349039,-1.024918,1.024918,3.000000,0.607101,0.000000,0.000000,-0.000397,0.000230,-0.001903,0.276399,0.002182,0.451173,0.276402,0.002185,0.450751,-0.000400,0.008555
0.030000,0.689494,-0.442893,0.935047,0.571618,0.372096,-0.923953,0.923953,3.000000,0.682058,0.000000,0.000000,-0.000231,0.000480,-0.000161,0.276395,0.002181,0.451164,0.276402,0.002185,0.450711,-0.000440,-0.006778
0.040000,0.799175,-0.428656,1.020016,0.681300,0.386333,-0.838983,0.838983,3.000000,0.783213,0.000000,0.000000,-0.000159,0.000614,-0.001252,0.276394,0.002183,0.451152,0.276402,0.002185,0.450711,-0.000440,0.002699
0.050000,0.848164,-0.480569,1.115980,0.730289,0.334420,-0.743019,0.743019,3.000000,0.803218,0.000000,0.000000,0.000181,-0.000086,0.000010,0.276394,0.002182,0.451150,0.276402,0.002185,0.450711,-0.000440,-0.007990
0.060000,0.877849,-0.481154,1.150015,0.759974,0.333835,-0.708985,0.708985,3.000000,0.830064,0.000000,0.000000,-0.000199,0.000368,-0.000667,0.276392,0.002184,0.451146,0.276402,0.002185,0.450711,-0.000440,-0.002167
0.070000,0.903194,-0.529522,1.181880,0.785319,0.285467,-0.677120,0.677120,3.000000,0.835594,0.000000,0.000000,-0.000158,-0.000051,-0.000929,0.276392,0.002183,0.451139,0.276402,0.002185,0.450711,-0.000440,0.000185
0.080000,0.829048,-0.534761,1.230828,0.711173,0.280228,-0.628172,0.628172,3.000000,0.764391,0.000000,0.000000,-0.000280,-0.000090,-0.001218,0.276391,0.002184,0.451134,0.276402,0.002185,0.450711,-0.000440,0.002715
0.090000,0.810513,-0.540630,1.282050,0.692638,0.274359,-0.576950,0.576950,3.000000,0.744997,0.000000,0.000000,-0.000151,-0.000549,-0.000547,0.276389,0.002181,0.451129,0.276402,0.002185,0.450711,-0.000440,-0.002880
0.100000,0.861498,-0.606972,1.299546,0.743623,0.208016,-0.559454,0.559454,3.000000,0.772169,0.000000,0.000000,0.000062,0.000006,-0.000464,0.276389,0.002182,0.451122,0.276402,0.002185,0.450711,-0.000440,-0.003461
0.110000,0.793730,-0.637200,1.279515,0.675855,0.177788,-0.579485,0.579485,3.000000,0.698848,0.000000,0.000000,-0.001301,-0.000411,-0.003673,0.276381,0.002181,0.451099,0.276402,0.002185,0.450711,-0.000440,0.024189
0.120000,0.638455,-0.623368,1.176857,0.520580,0.191621,-0.682142,0.682142,3.000000,0.554727,0.000000,0.000000,-0.000511,0.000075,-0.004259,0.276375,0.002180,0.451066,0.276402,0.002185,0.450711,-0.000440,0.029750
0.131000,0.730479,-0.688256,1.185654,0.612604,0.126733,-0.673345,0.673345,3.000000,0.625576,0.000000,0.000000,-0.000635,0.000039,-0.002380,0.276367,0.002180,0.451038,0.276402,0.002185,0.450711,-0.000440,0.014311
0.141000,0.808984,-0.645043,1.215338,0.691109,0.169945,-0.643662,0.643662,3.000000,0.711697,0.000000,0.000000,-0.000381,-0.000485,-0.000084,0.276363,0.002178,0.451025,0.276402,0.002185,0.450711,-0.000440,-0.004930
0.151000,0.831211,-0.636811,1.083244,0.713335,0.178178,-0.775756,0.775756,3.000000,0.735251,0.000000,0.000000,-0.000104,-0.000368,-0.000406,0.276360,0.002175,0.451011,0.276402,0.002185,0.450711,-0.000440,-0.001959
0.161000,0.805354,-0.610610,1.086751,0.687479,0.204379,-0.772249,0.772249,3.000000,0.717215,0.000000,0.000000,-0.000423,0.000091,-0.001055,0.276357,0.002175,0.450997,0.276402,0.002185,0.450711,-0.000440,0.003794
0.171000,0.782299,-0.608935,1.122805,0.664424,0.206054,-0.736195,0.736195,3.000000,0.695641,0.000000,0.000000,-0.000127,0.000000,-0.000516,0.276355,0.002176,0.450990,0.276402,0.002185,0.450711,-0.000440,-0.000645
0.181000,0.739574,-0.594280,1.135461,0.621698,0.220709,-0.723539,0.723539,3.000000,0.659713,0.000000,0.000000,-0.000381,0.000215,-0.001436,0.276352,0.002175,0.450977,0.276402,0.002185,0.450711,-0.000440,0.007404
0.191000,0.702244,-0.563456,1.196600,0.584368,0.251533,-0.662400,0.662400,3.000000,0.636203,0.000000,0.000000,-0.000102,0.000345,-0.000537,0.276351,0.002175,0.450964,0.276402,0.002185,0.450711,-0.000440,0.000004
0.201000,0.701933,-0.607998,1.203912,0.584058,0.206991,-0.655088,0.655088,3.000000,0.619652,0.000000,0.000000,-0.000192,-0.000087,-0.000541,0.276347,0.002173,0.450953,0.276402,0.002185,0.450711,-0.000440,0.000227
0.211000,0.700755,-0.575013,1.200417,0.582880,0.239976,-0.658582,0.658582,3.000000,0.630347,0.000000,0.000000,-0.000661,-0.000312,-0.001568,0.276344,0.002172,0.450938,0.276402,0.002185,0.450711,-0.000440,0.009226
0.221000,0.747886,-0.607543,1.239437,0.630011,0.207446,-0.619563,0.619563,3.000000,0.663285,0.000000,0.000000,-0.000467,-0.000137,-0.000884,0.276341,0.002172,0.450927,0.276402,0.002185,0.450711,-0.000440,0.003612
0.231000,0.662958,-0.584156,1.268690,0.545083,0.230832,-0.590310,0.590310,3.000000,0.591945,0.000000,0.000000,-0.000409,0.000033,-0.001146,0.276338,0.002172,0.450916,0.276402,0.002185,0.450711,-0.000440,0.006026
0.241000,0.646590,-0.600126,1.220798,0.528715,0.214863,-0.638202,0.638202,3.000000,0.570706,0.000000,0.000000,0.000030,-0.000029,-0.000467,0.276336,0.002172,0.450909,0.276402,0.002185,0.450711,-0.000440,0.000394
0.252000,0.688616,-0.620235,1.118963,0.570740,0.194754,-0.740036,0.740036,3.000000,0.603054,0.000000,0.000000,-0.000305,-0.000565,-0.000786,0.276335,0.002172,0.450905,0.276402,0.002185,0.450711,-0.000440,0.003172
0.262000,0.705840,-0.619638,1.088806,0.587965,0.195351,-0.770194,0.770194,3.000000,0.619568,0.000000,0.000000,0.000180,0.000101,-0.000254,0.276334,0.002174,0.450903,0.276402,0.002185,0.450711,-0.000440,-0.001288
0.272000,0.696957,-0.649816,1.068991,0.579081,0.165173,-0.790009,0.790009,3.000000,0.602177,0.000000,0.000000,-0.000032,0.000098,0.000207,0.276334,0.002172,0.450902,0.276402,0.002185,0.450711,-0.000440,-0.005194
0.282000,0.755569,-0.649924,1.021461,0.637693,0.165065,-0.837539,0.837539,3.000000,0.658710,0.000000,0.000000,-0.000175,-0.000277,-0.000360,0.276334,0.002171,0.450899,0.276402,0.002185,0.450711,-0.000440,-0.000319
0.292000,0.650850,-0.654062,1.055137,0.532975,0.160927,-0.803863,0.803863,3.000000,0.556740,0.000000,0.000000,0.000439,0.000927,0.000665,0.276334,0.002172,0.450896,0.276402,0.002185,0.450711,-0.000440,-0.008976
0.302000,0.629896,-0.656818,1.045673,0.512020,0.158171,-0.813326,0.813326,3.000000,0.535894,0.000000,0.000000,0.000008,0.000548,-0.000247,0.276332,0.002172,0.450889,0.276402,0.002185,0.450711,-0.000440,-0.001109
0.312000,0.688922,-0.622075,1.090619,0.571047,0.192913,-0.768380,0.768380,3.000000,0.602752,0.000000,0.000000,-0.000361,0.000390,-0.000614,0.276330,0.002171,0.450884,0.276402,0.002185,0.450711,-0.000440,0.002107
0.322000,0.637669,-0.619249,1.171588,0.519793,0.195740,-0.687412,0.687412,3.000000,0.555427,0.000000,0.000000,-0.000180,0.000622,-0.001406,0.276329,0.002172,0.450878,0.276402,0.002185,0.450711,-0.000440,0.008937
0.332000,0.589631,-0.595081,1.230491,0.471755,0.219908,-0.628509,0.628509,3.000000,0.520492,0.000000,0.000000,-0.000300,-0.000162,-0.001138,0.276328,0.002170,0.450873,0.276402,0.002185,0.450711,-0.000440,0.006738
0.342000,0.640195,-0.583356,1.211774,0.522319,0.231633,-0.647226,0.647226,3.000000,0.571377,0.000000,0.000000,-0.000129,-0.000270,-0.000029,0.276327,0.002170,0.450872,0.276402,0.002185,0.450711,-0.000440,-0.002649
