time,raw_fx,raw_fy,raw_fz,corrected_fx,corrected_fy,corrected_fz,contact_force,target_force,force_xy_norm,v_des_x,v_des_y,v_x,v_y,z_dot,x,y,z,x_d,y_d,z_d,z_offset,f_z
0.000000,-7.587727,0.007269,-0.235531,-7.623798,0.734242,-2.145840,2.145840,3.000000,7.659073,-0.004977,0.000479,0.000153,-0.000208,-0.000750,0.204335,0.009413,0.491550,0.204154,0.009439,0.491668,0.000000,0.008486
0.010000,-7.532463,0.003098,-0.194322,-7.568534,0.730072,-2.104631,2.104631,3.000000,7.603665,-0.004977,0.000480,-0.000013,-0.000343,-0.000243,0.204335,0.009413,0.491547,0.204105,0.009444,0.491668,0.000000,0.004232
0.020000,-7.472525,0.055946,-0.210409,-7.508596,0.782920,-2.120718,2.120718,3.000000,7.549303,-0.004973,0.000519,0.002613,-0.000303,-0.000671,0.204355,0.009412,0.491539,0.204055,0.009449,0.491668,0.000000,0.008011
0.030000,-7.357633,0.039464,-0.181038,-7.393704,0.766437,-2.091348,2.091348,3.000000,7.433322,-0.004973,0.000516,0.006726,-0.000480,-0.000670,0.204414,0.009406,0.491531,0.204005,0.009454,0.491668,0.000000,0.008131
0.040000,-7.061196,-0.001657,-0.068356,-7.097266,0.725317,-1.978665,1.978665,3.000000,7.134233,-0.004974,0.000508,0.009065,-0.000674,-0.000343,0.204502,0.009400,0.491526,0.203955,0.009459,0.491628,-0.000040,0.004732
0.050000,-6.379391,-0.053356,0.010632,-6.415462,0.673618,-1.899678,1.899678,3.000000,6.450730,-0.004973,0.000522,0.010591,-0.000532,0.000093,0.204603,0.009391,0.491525,0.203906,0.009465,0.491428,-0.000240,-0.002533
0.060000,-5.631035,-0.120793,0.105040,-5.667106,0.606181,-1.805270,1.805270,3.000000,5.699434,-0.004972,0.000532,0.010909,-0.000895,0.000393,0.204716,0.009379,0.491528,0.203856,0.009470,0.491228,-0.000440,-0.008747
0.070000,-4.983522,-0.145131,0.126520,-5.019593,0.581843,-1.783789,1.783789,3.000000,5.053203,-0.004967,0.000576,0.011411,-0.000952,0.001471,0.204832,0.009367,0.491536,0.203806,0.009475,0.491028,-0.000640,-0.021629
0.080000,-4.801068,-0.134430,0.096547,-4.837139,0.592543,-1.813762,1.813762,3.000000,4.873297,-0.004963,0.000608,0.013046,-0.001520,0.000323,0.204957,0.009355,0.491535,0.203756,0.009481,0.490828,-0.000840,-0.015481
0.090000,-4.914500,-0.138056,0.047943,-4.950571,0.588918,-1.862366,1.862366,3.000000,4.985477,-0.004965,0.000591,0.014376,-0.001076,-0.001894,0.205099,0.009343,0.491518,0.203707,0.009487,0.490628,-0.001040,0.000042
0.100000,-5.217882,-0.153704,-0.029184,-5.253953,0.573269,-1.939493,1.939493,3.000000,5.285136,-0.004970,0.000542,0.014708,-0.001013,-0.002879,0.205248,0.009331,0.491488,0.203657,0.009493,0.490428,-0.001240,0.005338
0.110000,-5.418654,-0.161535,-0.064527,-5.454725,0.565439,-1.974836,1.974836,3.000000,5.483953,-0.004973,0.000516,0.015017,-0.001354,-0.005844,0.205398,0.009316,0.491439,0.203607,0.009498,0.490228,-0.001440,0.027775
0.120000,-5.367333,-0.151175,-0.086292,-5.403404,0.575799,-1.996602,1.996602,3.000000,5.433996,-0.004972,0.000530,0.014127,-0.001428,-0.005762,0.205543,0.009301,0.491385,0.203558,0.009503,0.490028,-0.001640,0.024464
0.131000,-4.829885,-0.210991,-0.135284,-4.865956,0.515982,-2.045594,2.045594,3.000000,4.893237,-0.004972,0.000527,0.013309,-0.001333,-0.006483,0.205695,0.009285,0.491317,0.203503,0.009509,0.490008,-0.001660,0.031435
0.141000,-4.452292,-0.208791,-0.147855,-4.488363,0.518183,-2.058165,2.058165,3.000000,4.518176,-0.004967,0.000573,0.012774,-0.001062,-0.006341,0.205819,0.009273,0.491252,0.203453,0.009515,0.490008,-0.001660,0.031409
0.151000,-4.444487,-0.212180,-0.168859,-4.480558,0.514793,-2.079168,2.079168,3.000000,4.510034,-0.004967,0.000571,0.012137,-0.001356,-0.008368,0.205940,0.009260,0.491177,0.203404,0.009520,0.490008,-0.001660,0.049960
0.161000,-4.650039,-0.218301,-0.186308,-4.686110,0.508673,-2.096617,2.096617,3.000000,4.713637,-0.004971,0.000540,0.012242,-0.001368,-0.008544,0.206066,0.009247,0.491085,0.203354,0.009526,0.490008,-0.001660,0.053110
0.171000,-4.899294,-0.192517,-0.194130,-4.935365,0.534456,-2.104439,2.104439,3.000000,4.964219,-0.004971,0.000538,0.012490,-0.001177,-0.011390,0.206191,0.009235,0.490976,0.203304,0.009531,0.490008,-0.001660,0.079213
0.181000,-4.989377,-0.206674,-0.257064,-5.025448,0.520300,-2.167374,2.167374,3.000000,5.052310,-0.004973,0.000515,0.012430,-0.001361,-0.011183,0.206315,0.009222,0.490870,0.203255,0.009537,0.490008,-0.001660,0.079373
0.191000,-5.145132,-0.167663,-0.205953,-5.181203,0.559310,-2.116263,2.116263,3.000000,5.211304,-0.004971,0.000537,0.012776,-0.001809,-0.012700,0.206440,0.009207,0.490750,0.203205,0.009542,0.490008,-0.001660,0.094389
0.201000,-5.214694,-0.128801,-0.271666,-5.250765,0.598173,-2.181976,2.181976,3.000000,5.284727,-0.004968,0.000566,0.012925,-0.001506,-0.011449,0.206569,0.009192,0.490632,0.203155,0.009547,0.490008,-0.001660,0.085903
0.211000,-5.153686,-0.165730,-0.279580,-5.189757,0.561244,-2.189889,2.189889,3.000000,5.220017,-0.004971,0.000538,0.013485,-0.001543,-0.011697,0.206701,0.009180,0.490513,0.203105,0.009553,0.490008,-0.001660,0.090144
0.221000,-5.238137,-0.181818,-0.280608,-5.274208,0.545156,-2.190917,2.190917,3.000000,5.302307,-0.004974,0.000514,0.013827,-0.001140,-0.012347,0.206836,0.009167,0.490390,0.203056,0.009558,0.490008,-0.001660,0.097884
0.231000,-5.342157,-0.186893,-0.268593,-5.378228,0.540080,-2.178902,2.178902,3.000000,5.405277,-0.004975,0.000500,0.014828,-0.001737,-0.012032,0.206980,0.009151,0.490267,0.203006,0.009563,0.490008,-0.001660,0.097427
0.241000,-5.389465,-0.205407,-0.266174,-5.425536,0.521566,-2.176483,2.176483,3.000000,5.450548,-0.004977,0.000478,0.014797,-0.001641,-0.013709,0.207134,0.009135,0.490134,0.202956,0.009568,0.490008,-0.001660,0.114052
0.252000,-5.457000,-0.223931,-0.242795,-5.493071,0.503042,-2.153105,2.153105,3.000000,5.516056,-0.004979,0.000456,0.016764,-0.001743,-0.013392,0.207310,0.009118,0.489990,0.202901,0.009573,0.490008,-0.001660,0.113955
0.262000,-5.457437,-0.206754,-0.263259,-5.493508,0.520219,-2.173568,2.173568,3.000000,5.518084,-0.004978,0.000471,0.017604,-0.001513,-0.013910,0.207481,0.009100,0.489853,0.202852,0.009578,0.490008,-0.001660,0.120817
