time,raw_fx,raw_fy,raw_fz,corrected_fx,corrected_fy,corrected_fz,contact_force,target_force,force_xy_norm,v_des_x,v_des_y,v_x,v_y,z_dot,x,y,z,x_d,y_d,z_d,z_offset,f_z
0.000000,-0.056969,-0.740413,1.092825,-0.077951,0.020229,0.010085,0.000000,3.000000,0.080533,0.000000,0.000000,-0.000059,-0.000138,-0.000404,0.251765,0.007546,0.467020,0.251764,0.007545,0.467021,0.000000,0.003458
0.010000,-0.065664,-0.727960,1.060939,-0.086646,0.032682,-0.021801,0.021801,3.000000,0.092605,0.000000,0.000000,-0.000368,-0.000435,-0.000082,0.251763,0.007544,0.467020,0.251764,0.007545,0.467021,0.000000,0.000725
0.020000,-0.102864,-0.721594,0.976872,-0.123846,0.039048,-0.105867,0.105867,3.000000,0.129856,0.000000,0.000000,-0.000091,-0.000473,-0.000630,0.251763,0.007544,0.467014,0.251764,0.007545,0.467021,0.000000,0.005470
0.030000,-0.071653,-0.711065,0.916989,-0.092635,0.049577,-0.165750,0.165750,3.000000,0.105067,0.000000,0.000000,0.000136,0.000382,0.000090,0.251764,0.007545,0.467016,0.251764,0.007545,0.467021,0.000000,-0.000666
0.040000,-0.025251,-0.705027,0.909500,-0.046233,0.055615,-0.173239,0.173239,3.000000,0.072322,0.000000,0.000000,-0.000397,-0.000350,-0.000157,0.251763,0.007545,0.467015,0.251764,0.007545,0.467021,0.000000,0.001440
0.050000,-0.040779,-0.650852,0.897758,-0.061761,0.109791,-0.184981,0.184981,3.000000,0.125970,0.000000,0.000000,0.000025,0.000048,-0.001083,0.251764,0.007545,0.467014,0.251764,0.007545,0.467021,0.000000,0.009324
0.060000,-0.057415,-0.623652,0.905776,-0.078397,0.136990,-0.176963,0.176963,3.000000,0.157836,0.000000,0.000000,0.000022,-0.000659,0.000749,0.251763,0.007544,0.467016,0.251764,0.007545,0.467021,0.000000,-0.006264
0.070000,-0.055473,-0.591524,0.879345,-0.076455,0.169118,-0.203394,0.203394,3.000000,0.185597,0.000000,0.000000,-0.000244,-0.000100,-0.000393,0.251763,0.007546,0.467015,0.251764,0.007545,0.467021,0.000000,0.003458
0.080000,-0.078282,-0.570315,0.899415,-0.099264,0.190327,-0.183324,0.183324,3.000000,0.214657,0.000000,0.000000,0.000012,0.000065,-0.000156,0.251763,0.007546,0.467016,0.251764,0.007545,0.467021,0.000000,0.001422
0.090000,-0.041557,-0.564034,0.914584,-0.062539,0.196608,-0.168155,0.168155,3.000000,0.206315,0.000000,0.000000,0.000297,-0.000072,0.000551,0.251765,0.007545,0.467018,0.251764,0.007545,0.467021,0.000000,-0.004621
0.100000,-0.075485,-0.577609,0.905124,-0.096467,0.183033,-0.177615,0.177615,3.000000,0.206898,0.000000,0.000000,0.000444,0.000067,0.000856,0.251764,0.007545,0.467018,0.251764,0.007545,0.467021,0.000000,-0.007203
0.110000,-0.024090,-0.545838,0.900777,-0.045072,0.214804,-0.181962,0.181962,3.000000,0.219482,0.000000,0.000000,0.000010,0.000055,0.000081,0.251763,0.007547,0.467016,0.251764,0.007545,0.467021,0.000000,-0.000593
0.120000,-0.029472,-0.539021,0.884595,-0.050453,0.221621,-0.198145,0.198145,3.000000,0.227292,0.000000,0.000000,0.000223,0.000341,-0.000304,0.251764,0.007546,0.467016,0.251764,0.007545,0.467021,0.000000,0.002677
0.131000,-0.035936,-0.555091,0.897854,-0.056918,0.205551,-0.184886,0.184886,3.000000,0.213286,0.000000,0.000000,0.000073,0.000268,-0.000419,0.251764,0.007546,0.467016,0.251764,0.007545,0.467021,0.000000,0.003654
0.141000,-0.061697,-0.541234,0.892003,-0.082679,0.219408,-0.190736,0.190736,3.000000,0.234469,0.000000,0.000000,0.000259,0.000127,-0.000188,0.251764,0.007546,0.467015,0.251764,0.007545,0.467021,0.000000,0.001700
0.151000,-0.016239,-0.493184,0.875578,-0.037221,0.267458,-0.207161,0.207161,3.000000,0.270036,0.000000,0.000000,-0.000004,-0.000319,0.000202,0.251764,0.007545,0.467016,0.251764,0.007545,0.467021,0.000000,-0.001625
0.161000,0.002094,-0.512701,0.863669,-0.018887,0.247941,-0.219070,0.219070,3.000000,0.248660,0.000000,0.000000,0.000108,0.000262,0.000035,0.251763,0.007547,0.467016,0.251764,0.007545,0.467021,0.000000,-0.000209
0.171000,-0.002985,-0.509491,0.900274,-0.023967,0.251151,-0.182466,0.182466,3.000000,0.252292,0.000000,0.000000,-0.000063,-0.000168,0.000587,0.251764,0.007545,0.467017,0.251764,0.007545,0.467021,0.000000,-0.004901
0.181000,0.027536,-0.526076,0.881326,0.006554,0.234566,-0.201413,0.201413,3.000000,0.234658,0.000000,0.000000,-0.000313,0.000101,-0.000348,0.251763,0.007546,0.467016,0.251764,0.007545,0.467021,0.000000,0.003055
0.191000,-0.008351,-0.532650,0.885092,-0.029333,0.227992,-0.197647,0.197647,3.000000,0.229872,0.000000,0.000000,0.000202,0.000179,0.000384,0.251764,0.007546,0.467017,0.251764,0.007545,0.467021,0.000000,-0.003188
0.201000,-0.019062,-0.534401,0.881235,-0.040044,0.226241,-0.201504,0.201504,3.000000,0.229758,0.000000,0.000000,0.000188,0.000089,0.000019,0.251764,0.007546,0.467016,0.251764,0.007545,0.467021,0.000000,-0.000059
0.211000,-0.019924,-0.544543,0.869107,-0.040906,0.216099,-0.213632,0.213632,3.000000,0.219937,0.000000,0.000000,-0.000048,-0.000766,0.000140,0.251764,0.007545,0.467016,0.251764,0.007545,0.467021,0.000000,-0.001094
0.221000,-0.105610,-0.537222,0.890708,-0.126592,0.223420,-0.192031,0.192031,3.000000,0.256792,0.000000,0.000000,-0.000085,0.000148,-0.000252,0.251763,0.007547,0.467015,0.251764,0.007545,0.467021,0.000000,0.002244
0.231000,-0.083648,-0.514322,0.901022,-0.104630,0.246320,-0.181717,0.181717,3.000000,0.267621,0.000000,0.000000,0.000128,-0.000185,-0.000866,0.251764,0.007546,0.467015,0.251764,0.007545,0.467021,0.000000,0.007469
0.241000,-0.087761,-0.540417,0.902821,-0.108742,0.220225,-0.179918,0.179918,3.000000,0.245610,0.000000,0.000000,0.000127,-0.000054,0.000699,0.251764,0.007547,0.467018,0.251764,0.007545,0.467021,0.000000,-0.005878
0.252000,-0.035247,-0.526853,0.884070,-0.056229,0.233789,-0.198669,0.198669,3.000000,0.240456,0.000000,0.000000,-0.000061,0.000149,-0.000218,0.251763,0.007547,0.467015,0.251764,0.007545,0.467021,0.000000,0.001965
0.262000,-0.012774,-0.527303,0.861066,-0.033756,0.233339,-0.221673,0.221673,3.000000,0.235768,0.000000,0.000000,0.000220,-0.000519,0.000095,0.251764,0.007545,0.467017,0.251764,0.007545,0.467021,0.000000,-0.000730
0.272000,0.014197,-0.539825,0.865805,-0.006785,0.220817,-0.216934,0.216934,3.000000,0.220922,0.000000,0.000000,-0.000212,0.000058,-0.000301,0.251763,0.007546,0.467016,0.251764,0.007545,0.467021,0.000000,0.002652
0.282000,-0.027744,-0.523286,0.878568,-0.048726,0.237356,-0.204171,0.204171,3.000000,0.242306,0.000000,0.000000,0.000028,0.000032,0.000104,0.251764,0.007546,0.467017,0.251764,0.007545,0.467021,0.000000,-0.000806
0.292000,0.004115,-0.542802,0.876500,-0.016867,0.217840,-0.206239,0.206239,3.000000,0.218492,0.000000,0.000000,-0.000236,0.000138,-0.000544,0.251764,0.007547,0.467017,0.251764,0.007545,0.467021,0.000000,0.004696
0.302000,-0.042206,-0.498023,0.881934,-0.063187,0.262619,-0.200806,0.200806,3.000000,0.270113,0.000000,0.000000,0.000065,0.000058,-0.000279,0.251763,0.007547,0.467016,0.251764,0.007545,0.467021,0.000000,0.002467
0.312000,-0.016740,-0.514004,0.881469,-0.037722,0.246638,-0.201270,0.201270,3.000000,0.249506,0.000000,0.000000,-0.000047,0.000048,0.000181,0.251764,0.007546,0.467016,0.251764,0.007545,0.467021,0.000000,-0.001443
0.322000,-0.050174,-0.521853,0.884843,-0.071156,0.238789,-0.197896,0.197896,3.000000,0.249165,0.000000,0.000000,-0.000041,0.000537,-0.000466,0.251763,0.007548,0.467015,0.251764,0.007545,0.467021,0.000000,0.004064
0.332000,-0.113215,-0.519008,0.891039,-0.134197,0.241634,-0.191700,0.191700,3.000000,0.276398,0.000000,0.000000,0.000592,-0.000037,-0.000155,0.251764,0.007547,0.467016,0.251764,0.007545,0.467021,0.000000,0.001408
0.342000,-0.048748,-0.520336,0.888474,-0.069729,0.240306,-0.194265,0.194265,3.000000,0.250219,0.000000,0.000000,0.000286,0.000751,-0.000579,0.251764,0.007548,0.467014,0.251764,0.007545,0.467021,0.000000,0.005038
0.352000,0.011919,-0.540529,0.890972,-0.009063,0.220113,-0.191768,0.191768,3.000000,0.220300,0.000000,0.000000,0.000225,0.000179,0.000134,0.251763,0.007546,0.467016,0.251764,0.007545,0.467021,0.000000,-0.001039
